Episode,Score,Average Score
1.0,0.0,0.0
2.0,0.0,0.0
3.0,-1.0,-0.3333333333333333
4.0,-1.0,-0.5
5.0,-1.0,-0.6
6.0,2.0,-0.16666666666666666
7.0,0.0,-0.14285714285714285
8.0,-1.0,-0.25
9.0,0.0,-0.2222222222222222
10.0,1.0,-0.1
11.0,0.0,-0.09090909090909091
12.0,1.0,0.0
13.0,1.0,0.07692307692307693
14.0,0.0,0.07142857142857142
15.0,0.0,0.06666666666666667
16.0,0.0,0.0625
17.0,1.0,0.11764705882352941
18.0,1.0,0.16666666666666666
19.0,-1.0,0.10526315789473684
20.0,0.0,0.1
21.0,0.0,0.09523809523809523
22.0,0.0,0.09090909090909091
23.0,-2.0,0.0
24.0,0.0,0.0
25.0,1.0,0.04
26.0,0.0,0.038461538461538464
27.0,1.0,0.07407407407407407
28.0,0.0,0.07142857142857142
29.0,-3.0,-0.034482758620689655
30.0,1.0,0.0
31.0,0.0,0.0
32.0,0.0,0.0
33.0,0.0,0.0
34.0,0.0,0.0
35.0,2.0,0.05714285714285714
36.0,1.0,0.08333333333333333
37.0,0.0,0.08108108108108109
38.0,1.0,0.10526315789473684
39.0,2.0,0.15384615384615385
40.0,2.0,0.2
41.0,0.0,0.1951219512195122
42.0,1.0,0.21428571428571427
43.0,1.0,0.23255813953488372
44.0,0.0,0.22727272727272727
45.0,0.0,0.2222222222222222
46.0,0.0,0.21739130434782608
47.0,0.0,0.2127659574468085
48.0,1.0,0.22916666666666666
49.0,4.0,0.30612244897959184
50.0,0.0,0.3
51.0,0.0,0.29411764705882354
52.0,-1.0,0.2692307692307692
53.0,2.0,0.3018867924528302
54.0,0.0,0.2962962962962963
55.0,1.0,0.3090909090909091
56.0,0.0,0.30357142857142855
57.0,2.0,0.3333333333333333
58.0,0.0,0.3275862068965517
59.0,2.0,0.3559322033898305
60.0,2.0,0.38333333333333336
61.0,3.0,0.4262295081967213
62.0,0.0,0.41935483870967744
63.0,1.0,0.42857142857142855
64.0,2.0,0.453125
65.0,3.0,0.49230769230769234
66.0,-1.0,0.4696969696969697
67.0,-1.0,0.44776119402985076
68.0,1.0,0.45588235294117646
69.0,1.0,0.463768115942029
70.0,-1.0,0.44285714285714284
71.0,-1.0,0.4225352112676056
72.0,3.0,0.4583333333333333
73.0,-2.0,0.4246575342465753
74.0,0.0,0.4189189189189189
75.0,4.0,0.4666666666666667
76.0,1.0,0.47368421052631576
77.0,3.0,0.5064935064935064
78.0,1.0,0.5128205128205128
79.0,2.0,0.5316455696202531
80.0,0.0,0.525
81.0,3.0,0.5555555555555556
82.0,1.0,0.5609756097560976
83.0,-2.0,0.5301204819277109
84.0,2.0,0.5476190476190477
85.0,6.0,0.611764705882353
86.0,3.0,0.6395348837209303
87.0,6.0,0.7011494252873564
88.0,1.0,0.7045454545454546
89.0,1.0,0.7078651685393258
90.0,2.0,0.7222222222222222
91.0,1.0,0.7252747252747253
92.0,5.0,0.7717391304347826
93.0,-1.0,0.7526881720430108
94.0,6.0,0.8085106382978723
95.0,3.0,0.8315789473684211
96.0,2.0,0.84375
97.0,4.0,0.8762886597938144
98.0,1.0,0.8775510204081632
99.0,1.0,0.8787878787878788
100.0,3.0,0.9
101.0,0.0,0.9
102.0,6.0,0.96
103.0,0.0,0.97
104.0,7.0,1.05
105.0,0.0,1.06
106.0,0.0,1.04
107.0,2.0,1.06
108.0,7.0,1.14
109.0,2.0,1.16
110.0,3.0,1.18
111.0,3.0,1.21
112.0,2.0,1.22
113.0,1.0,1.22
114.0,2.0,1.24
115.0,4.0,1.28
116.0,3.0,1.31
117.0,7.0,1.37
118.0,4.0,1.4
119.0,5.0,1.46
120.0,6.0,1.52
121.0,3.0,1.55
122.0,-1.0,1.54
123.0,8.0,1.64
124.0,1.0,1.65
125.0,2.0,1.66
126.0,1.0,1.67
127.0,6.0,1.72
128.0,6.0,1.78
129.0,6.0,1.87
130.0,6.0,1.92
131.0,1.0,1.93
132.0,7.0,2.0
133.0,5.0,2.05
134.0,3.0,2.08
135.0,6.0,2.12
136.0,3.0,2.14
137.0,4.0,2.18
138.0,6.0,2.23
139.0,3.0,2.24
140.0,2.0,2.24
141.0,3.0,2.27
142.0,3.0,2.29
143.0,9.0,2.37
144.0,2.0,2.39
145.0,1.0,2.4
146.0,3.0,2.43
147.0,4.0,2.47
148.0,3.0,2.49
149.0,5.0,2.5
150.0,3.0,2.53
151.0,-1.0,2.52
152.0,6.0,2.59
153.0,4.0,2.61
154.0,5.0,2.66
155.0,8.0,2.73
156.0,0.0,2.73
157.0,12.0,2.83
158.0,4.0,2.87
159.0,6.0,2.91
160.0,0.0,2.89
161.0,2.0,2.88
162.0,3.0,2.91
163.0,1.0,2.91
164.0,4.0,2.93
165.0,6.0,2.96
166.0,5.0,3.02
167.0,5.0,3.08
168.0,4.0,3.11
169.0,7.0,3.17
170.0,6.0,3.24
171.0,2.0,3.27
172.0,-1.0,3.23
173.0,5.0,3.3
174.0,6.0,3.36
175.0,5.0,3.37
176.0,2.0,3.38
177.0,6.0,3.41
178.0,6.0,3.46
179.0,2.0,3.46
180.0,4.0,3.5
181.0,8.0,3.55
182.0,10.0,3.64
183.0,9.0,3.75
184.0,7.0,3.8
185.0,0.0,3.74
186.0,4.0,3.75
187.0,6.0,3.75
188.0,6.0,3.8
189.0,9.0,3.88
190.0,6.0,3.92
191.0,4.0,3.95
192.0,8.0,3.98
193.0,5.0,4.04
194.0,4.0,4.02
195.0,8.0,4.07
196.0,4.0,4.09
197.0,7.0,4.12
198.0,5.0,4.16
199.0,6.0,4.21
200.0,6.0,4.24
201.0,2.0,4.26
202.0,7.0,4.27
203.0,8.0,4.35
204.0,7.0,4.35
205.0,6.0,4.41
206.0,0.0,4.41
207.0,12.0,4.51
208.0,7.0,4.51
209.0,6.0,4.55
210.0,8.0,4.6
211.0,5.0,4.62
212.0,4.0,4.64
213.0,6.0,4.69
214.0,2.0,4.69
215.0,8.0,4.73
216.0,10.0,4.8
217.0,9.0,4.82
218.0,9.0,4.87
219.0,7.0,4.89
220.0,7.0,4.9
221.0,8.0,4.95
222.0,5.0,5.01
223.0,8.0,5.01
224.0,7.0,5.07
225.0,8.0,5.13
226.0,6.0,5.18
227.0,12.0,5.24
228.0,7.0,5.25
229.0,8.0,5.27
230.0,5.0,5.26
231.0,8.0,5.33
232.0,6.0,5.32
233.0,12.0,5.39
234.0,9.0,5.45
235.0,9.0,5.48
236.0,5.0,5.5
237.0,4.0,5.5
238.0,9.0,5.53
239.0,4.0,5.54
240.0,6.0,5.58
241.0,1.0,5.56
242.0,6.0,5.59
243.0,8.0,5.58
244.0,4.0,5.6
245.0,5.0,5.64
246.0,5.0,5.66
247.0,12.0,5.74
248.0,4.0,5.75
249.0,2.0,5.72
250.0,9.0,5.78
251.0,6.0,5.85
252.0,5.0,5.84
253.0,12.0,5.92
254.0,8.0,5.95
255.0,7.0,5.94
256.0,4.0,5.98
257.0,8.0,5.94
258.0,9.0,5.99
259.0,8.0,6.01
260.0,6.0,6.07
261.0,7.0,6.12
262.0,12.0,6.21
263.0,11.0,6.31
264.0,8.0,6.35
265.0,12.0,6.41
266.0,7.0,6.43
267.0,9.0,6.47
268.0,6.0,6.49
269.0,11.0,6.53
270.0,8.0,6.55
271.0,8.0,6.61
272.0,5.0,6.67
273.0,13.0,6.75
274.0,8.0,6.77
275.0,11.0,6.83
276.0,12.0,6.93
277.0,7.0,6.94
278.0,12.0,7.0
279.0,11.0,7.09
280.0,8.0,7.13
281.0,6.0,7.11
282.0,10.0,7.11
283.0,8.0,7.1
284.0,3.0,7.06
285.0,4.0,7.1
286.0,8.0,7.14
287.0,6.0,7.14
288.0,8.0,7.16
289.0,6.0,7.13
290.0,15.0,7.22
291.0,7.0,7.25
292.0,12.0,7.29
293.0,10.0,7.34
294.0,8.0,7.38
295.0,7.0,7.37
296.0,11.0,7.44
297.0,0.0,7.37
298.0,8.0,7.4
299.0,2.0,7.36
300.0,6.0,7.36
301.0,11.0,7.45
302.0,12.0,7.5
303.0,3.0,7.45
304.0,7.0,7.45
305.0,7.0,7.46
306.0,14.0,7.6
307.0,12.0,7.6
308.0,6.0,7.59
309.0,9.0,7.62
310.0,16.0,7.7
311.0,14.0,7.79
312.0,11.0,7.86
313.0,11.0,7.91
314.0,7.0,7.96
315.0,10.0,7.98
316.0,11.0,7.99
317.0,11.0,8.01
318.0,16.0,8.08
319.0,19.0,8.2
320.0,12.0,8.25
321.0,11.0,8.28
322.0,2.0,8.25
323.0,2.0,8.19
324.0,11.0,8.23
325.0,9.0,8.24
326.0,10.0,8.28
327.0,16.0,8.32
328.0,9.0,8.34
329.0,10.0,8.36
330.0,7.0,8.38
331.0,15.0,8.45
332.0,4.0,8.43
333.0,10.0,8.41
334.0,8.0,8.4
335.0,8.0,8.39
336.0,4.0,8.38
337.0,8.0,8.42
338.0,11.0,8.44
339.0,8.0,8.48
340.0,4.0,8.46
341.0,14.0,8.59
342.0,16.0,8.69
343.0,10.0,8.71
344.0,13.0,8.8
345.0,13.0,8.88
346.0,10.0,8.93
347.0,11.0,8.92
348.0,11.0,8.99
349.0,23.0,9.2
350.0,7.0,9.18
351.0,12.0,9.24
352.0,8.0,9.27
353.0,10.0,9.25
354.0,9.0,9.26
355.0,13.0,9.32
356.0,13.0,9.41
357.0,9.0,9.42
358.0,11.0,9.44
359.0,18.0,9.54
360.0,6.0,9.54
361.0,9.0,9.56
362.0,13.0,9.57
363.0,10.0,9.56
364.0,11.0,9.59
365.0,15.0,9.62
366.0,11.0,9.66
367.0,13.0,9.7
368.0,10.0,9.74
369.0,11.0,9.74
370.0,3.0,9.69
371.0,4.0,9.65
372.0,17.0,9.77
373.0,12.0,9.76
374.0,16.0,9.84
375.0,8.0,9.81
376.0,8.0,9.77
377.0,12.0,9.82
378.0,8.0,9.78
379.0,13.0,9.8
380.0,5.0,9.77
381.0,21.0,9.92
382.0,6.0,9.88
383.0,16.0,9.96
384.0,12.0,10.05
385.0,12.0,10.13
386.0,13.0,10.18
387.0,3.0,10.15
388.0,15.0,10.22
389.0,10.0,10.26
390.0,15.0,10.26
391.0,12.0,10.31
392.0,9.0,10.28
393.0,15.0,10.33
394.0,10.0,10.35
395.0,14.0,10.42
396.0,11.0,10.42
397.0,8.0,10.5
398.0,7.0,10.49
399.0,13.0,10.6
400.0,10.0,10.64
401.0,17.0,10.7
402.0,17.0,10.75
403.0,10.0,10.82
404.0,11.0,10.86
405.0,13.0,10.92
406.0,7.0,10.85
407.0,6.0,10.79
408.0,2.0,10.75
409.0,17.0,10.83
410.0,5.0,10.72
411.0,18.0,10.76
412.0,11.0,10.76
413.0,17.0,10.82
414.0,15.0,10.9
415.0,15.0,10.95
416.0,14.0,10.98
417.0,14.0,11.01
418.0,13.0,10.98
419.0,11.0,10.9
420.0,4.0,10.82
421.0,11.0,10.82
422.0,13.0,10.93
423.0,9.0,11.0
424.0,12.0,11.01
425.0,9.0,11.01
426.0,13.0,11.04
427.0,17.0,11.05
428.0,5.0,11.01
429.0,4.0,10.95
430.0,7.0,10.95
431.0,13.0,10.93
432.0,17.0,11.06
433.0,13.0,11.09
434.0,10.0,11.11
435.0,14.0,11.17
436.0,17.0,11.3
437.0,18.0,11.4
438.0,9.0,11.38
439.0,14.0,11.44
440.0,6.0,11.46
441.0,12.0,11.44
442.0,16.0,11.44
443.0,8.0,11.42
444.0,20.0,11.49
445.0,12.0,11.48
446.0,13.0,11.51
447.0,13.0,11.53
448.0,10.0,11.52
449.0,11.0,11.4
450.0,15.0,11.48
451.0,15.0,11.51
452.0,13.0,11.56
453.0,13.0,11.59
454.0,19.0,11.69
455.0,18.0,11.74
456.0,19.0,11.8
457.0,16.0,11.87
458.0,8.0,11.84
459.0,9.0,11.75
460.0,17.0,11.86
461.0,19.0,11.96
462.0,18.0,12.01
463.0,17.0,12.08
464.0,12.0,12.09
465.0,9.0,12.03
466.0,23.0,12.15
467.0,11.0,12.13
468.0,17.0,12.2
469.0,16.0,12.25
470.0,7.0,12.29
471.0,15.0,12.4
472.0,15.0,12.38
473.0,9.0,12.35
474.0,16.0,12.35
475.0,9.0,12.36
476.0,15.0,12.43
477.0,16.0,12.47
478.0,11.0,12.5
479.0,8.0,12.45
480.0,6.0,12.46
481.0,22.0,12.47
482.0,12.0,12.53
483.0,7.0,12.44
484.0,12.0,12.44
485.0,8.0,12.4
486.0,12.0,12.39
487.0,13.0,12.49
488.0,8.0,12.42
489.0,15.0,12.47
490.0,11.0,12.43
491.0,16.0,12.47
492.0,12.0,12.5
493.0,15.0,12.5
494.0,14.0,12.54
495.0,15.0,12.55
496.0,2.0,12.46
497.0,14.0,12.52
498.0,21.0,12.66
499.0,14.0,12.67
500.0,17.0,12.74
501.0,14.0,12.71
502.0,21.0,12.75
503.0,6.0,12.71
504.0,10.0,12.7
505.0,13.0,12.7
506.0,12.0,12.75
507.0,12.0,12.81
508.0,12.0,12.91
509.0,12.0,12.86
510.0,13.0,12.94
511.0,9.0,12.85
512.0,12.0,12.86
513.0,3.0,12.72
514.0,12.0,12.69
515.0,19.0,12.73
516.0,19.0,12.78
517.0,14.0,12.78
518.0,14.0,12.79
519.0,10.0,12.78
520.0,11.0,12.85
521.0,15.0,12.89
522.0,15.0,12.91
523.0,16.0,12.98
524.0,15.0,13.01
